,Purchase_Date,Falchion,Falchion_Blue_Steel_FT,Falchion_Blue_Steel_MW,Falchion_Blue_Steel_WW,Falchion_Boreal_forest_FT,Falchion_Case_Hardened_FT,Falchion_Crimson_web_FT,Falchion_Fade_FN,Falchion_Forest_DDPAT_FT,Falchion_Night_FT,Falchion_safari_mesh_FT,Falchion_Scorched_FT,Falchion_Slaughter_FN,Falchion_Slaughter_MW,Falchion_Stained_FT,Falchion_Stained_MW,Falchion_Stained_WW,Falchion_Urban_masked_FT,avg
0,2015/5/27,291.169,247.451,360.44,224.648,121.75,252.415,273.082,394.379,112.133,193.8,108.481,116.707,396.552,354.974,131.33,221.799,119.305,126.063,224.8043333
1,2015/5/28,209.544,188.43,235.357,173.357,102.039,196.765,205.107,370.146,95.881,148.232,81.918,101.72,393.522,287.947,123.384,146.774,119.305,106.13,182.531
2,2015/5/29,202.337,185.126,215.516,176.072,100.668,180.227,231.946,353.669,102.791,149.043,90.316,95.17,380.14,338.523,122.442,134.542,126.815,104.585,182.7737778
3,2015/5/30,196.449,189.897,210.033,177.288,107.34,214.828,240.567,336.69,99.66,154.586,86.201,96.496,380.632,284.684,135.681,136.622,131.267,102.828,182.3193889
4,2015/5/31,174.116,187.407,239.36,178.678,105.982,205.15,204.11,352.653,96.011,149.623,86.834,93.966,357.42,300.067,120.91,140.19,125.533,98.551,178.6978333
5,2015/6/1,190.402,181.215,235.737,166.935,106.784,180.939,232.452,342.468,99.879,143.06,85.548,90.288,385.019,328.661,129.417,133.99,124.133,91.632,180.4755
6,2015/6/2,207.235,203.296,235.737,166.935,97.19,180.059,237.396,354.468,95.028,141.026,83.268,89.87,393.142,328.338,113.518,151.067,106.673,95.57,182.212
7,2015/6/3,203.271,179.444,232.402,170.156,97.987,181.931,196.234,367.717,94.975,131.025,76.44,89.588,345.197,309.527,110.054,143.246,112.272,88.434,173.8833333
8,2015/6/4,192.414,154.669,183.76,146.911,101.3,192.441,186.851,306.585,84.922,120.76,74.41,83.438,319.181,291.602,113.919,109.604,107.863,80.895,158.4180556
9,2015/6/5,163.192,137.831,183.76,132.115,90.889,177.379,190.527,249.57,78.389,120.405,68.165,77.815,324.152,263.097,98.197,109.604,92.731,76.755,146.3651667
10,2015/6/6,145.246,134.854,160.405,134.413,76.23,140.587,171.865,262.862,75.2,119.458,66.648,72.726,308.51,236.711,94.455,100.177,86.08,76.011,136.8021111
11,2015/6/7,138.549,134.185,150.811,115,74.374,125.474,158.172,283.429,69.542,101.25,61.014,72.041,280.774,216.107,91.462,101.513,87.651,70.382,129.5405556
12,2015/6/8,137.563,132.427,152.951,132.606,77.661,121.848,163.931,266.266,76.019,105.61,61.805,74.21,305.069,236.081,93.072,109.645,90.862,68.175,133.6556111
13,2015/6/9,140.562,133.351,150.572,120.98,79.818,129.794,166.953,247.461,74.884,110.846,66.395,74.683,361.335,237.608,94.66,107.059,87.68,74.112,136.5973889
14,2015/6/10,138.214,128.908,150.422,141.93,77.646,135.732,158.342,232.136,72.857,111.045,66.184,73.664,354.416,221.346,90.739,92.94,82.364,72.686,133.4206111
15,2015/6/11,128.825,127.309,149.376,129.963,73.606,135.015,142.399,234.501,68.632,109.168,62.859,70.458,328.087,242.018,96.749,99.425,86.633,70.853,130.882
16,2015/6/12,134.71,126.257,152.884,120.245,70.901,123.891,145.97,231.173,70.424,103.695,61.245,65.522,281.883,227.971,90.64,97.47,79.547,70.954,125.299
17,2015/6/13,129.261,127.982,153.831,120.959,69.922,136.357,150.935,225.584,65.46,98.971,58.212,67.104,277.326,211.14,88.641,92.694,83.06,66.88,123.5732778
18,2015/6/14,129.009,124.262,161.492,118.46,66.955,120.378,138.292,218.318,67.762,91.824,58.648,62.261,252.071,202.373,90.099,92.037,82.259,66.868,119.076
19,2015/6/15,124.51,116.247,138.024,112.724,71.374,119.361,146.092,216.222,67.236,97.215,57.808,61.677,238.327,208.434,78.994,89.894,81.593,65.706,116.191
20,2015/6/16,116.153,112.952,149.833,112.902,66.646,130,145.337,200.888,64.269,103.734,59.058,59.737,239.15,210.573,73.748,87.414,80.179,63.574,115.3415
21,2015/6/17,118.596,119.379,136.561,113.244,69.696,128.259,145.063,215.578,63.54,84.284,59.541,65.585,244.685,206.805,79.873,82.965,86.802,66.655,115.9506111
22,2015/6/18,113.374,120.673,125.063,115.5,74.018,118.847,135.884,238.318,66.498,87.035,57.919,62.825,254.425,211.038,83.238,95.008,81.225,63.685,116.9207222
